Game Name	Game Link	Start date	Game Type	Mod	Player	Affiliation	Role	"Killed? (n=nk, d=day kill, l= lynch, m= modkill)"	"Victory? (0=yes,1=no)"	Game ended day	Include in DB?	Post Restriction	Special Rules	Sub for	Sub day	Night Actions
TUESDAY  NIGHT TURBO	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10389430&page=0&fpart=all&vc=1	2007-05-16	Turbo	durron597	Turkish Mickey	Village	Vanilla	n2	1	4	1					
Wednesday night TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10403079&page=0&fpart=all&vc=1	2007-05-16	Turbo	antidan444	ASPoker8	Wolves		s	0	3	1					
Wednesday night TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10403079&page=0&fpart=all&vc=1	2007-05-16	Turbo	antidan444	CPFB	Village	Vanilla	l1	1	3	1					
Wednesday night TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10403079&page=0&fpart=all&vc=1	2007-05-16	Turbo	antidan444	durron597	Wolves		s	0	3	1					
Wednesday night TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10403079&page=0&fpart=all&vc=1	2007-05-16	Turbo	antidan444	DustinG	Village	Vanilla	n1	1	3	1					
Wednesday night TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10403079&page=0&fpart=all&vc=1	2007-05-16	Turbo	antidan444	Insane_Steve	Village	Vanilla	n2	1	3	1					
Wednesday night TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10403079&page=0&fpart=all&vc=1	2007-05-16	Turbo	antidan444	LuckayLuck	Village	Vanilla	l3	1	3	1					
Wednesday night TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10403079&page=0&fpart=all&vc=1	2007-05-16	Turbo	antidan444	metsandfinsfan	Village	Vanilla	s	1	3	1					
Wednesday night TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10403079&page=0&fpart=all&vc=1	2007-05-16	Turbo	antidan444	Our House	Village	Vanilla	s	1	3	1					
Wednesday night TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10403079&page=0&fpart=all&vc=1	2007-05-16	Turbo	antidan444	traz	Village	Seer	l2	1	3	1					"durron597,ASPoker8"
Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10419117&page=0&fpart=all&vc=1	2007-05-17	Turbo	lastchance	ASPoker8	Village	Vanilla	s	0	4	1					
Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10419117&page=0&fpart=all&vc=1	2007-05-17	Turbo	lastchance	bojtun	Wolves		l4	1	4	1					
Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10419117&page=0&fpart=all&vc=1	2007-05-17	Turbo	lastchance	chuckleslovakian	Village	Vanilla	l3	0	4	1					
Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10419117&page=0&fpart=all&vc=1	2007-05-17	Turbo	lastchance	CPFB	Village	Vanilla	s	0	4	1					
Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10419117&page=0&fpart=all&vc=1	2007-05-17	Turbo	lastchance	DustinG	Village	Vanilla	n1	0	4	1					
Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10419117&page=0&fpart=all&vc=1	2007-05-17	Turbo	lastchance	Insane_Steve	Village	Vanilla	n3	0	4	1					
Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10419117&page=0&fpart=all&vc=1	2007-05-17	Turbo	lastchance	LuckayLuck	Village	Vanilla	l1	0	4	1					
Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10419117&page=0&fpart=all&vc=1	2007-05-17	Turbo	lastchance	metsandfinsfan	Village	Seer	n2	0	4	1					"LuckayLuck,Insane_Steve"
Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10419117&page=0&fpart=all&vc=1	2007-05-17	Turbo	lastchance	traz	Wolves		l2	1	4	1					
Friday 10 PM Turbo - Cows vs. Moose	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10432795&page=129&fpart=all&vc=1	2007-05-18	Turbo	CPFB	amplify	Village	Vanilla	l3	1	3	1			ESKiMO-SiCKNE5S	1	
Friday 10 PM Turbo - Cows vs. Moose	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10432795&page=129&fpart=all&vc=1	2007-05-18	Turbo	CPFB	ASPoker8	Village	Vanilla	s	1	3	1					
Friday 10 PM Turbo - Cows vs. Moose	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10432795&page=129&fpart=all&vc=1	2007-05-18	Turbo	CPFB	bojtun	Village	Vanilla	s	1	3	1					
Friday 10 PM Turbo - Cows vs. Moose	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10432795&page=129&fpart=all&vc=1	2007-05-18	Turbo	CPFB	DustinG	Village	Vanilla	n2	1	3	1					
Friday 10 PM Turbo - Cows vs. Moose	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10432795&page=129&fpart=all&vc=1	2007-05-18	Turbo	CPFB	kyro	Wolves		s	0	3	1					
Friday 10 PM Turbo - Cows vs. Moose	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10432795&page=129&fpart=all&vc=1	2007-05-18	Turbo	CPFB	LuckayLuck	Wolves		s	0	3	1					
Friday 10 PM Turbo - Cows vs. Moose	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10432795&page=129&fpart=all&vc=1	2007-05-18	Turbo	CPFB	Our House	Village	Vanilla	l2	1	3	1					
Friday 10 PM Turbo - Cows vs. Moose	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10432795&page=129&fpart=all&vc=1	2007-05-18	Turbo	CPFB	theSmell	Village	Seer	l1	1	3	1					VoraciousReader
Friday 10 PM Turbo - Cows vs. Moose	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10432795&page=129&fpart=all&vc=1	2007-05-18	Turbo	CPFB	VoraciousReader	Village	Vanilla	n1	1	3	1					
PRESS YOUR LUCK Turbo (BobO returns!)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10490214&page=0&fpart=all&vc=1	2007-05-23	Turbo	Madtown	amplify	Village	Vanilla	n2	1	4	1					
PRESS YOUR LUCK Turbo (BobO returns!)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10490214&page=0&fpart=all&vc=1	2007-05-23	Turbo	Madtown	BobOjedaFan	Village	Vanilla	n3	1	4	1					
PRESS YOUR LUCK Turbo (BobO returns!)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10490214&page=0&fpart=all&vc=1	2007-05-23	Turbo	Madtown	DustinG	Wolves		s	0	4	1					
PRESS YOUR LUCK Turbo (BobO returns!)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10490214&page=0&fpart=all&vc=1	2007-05-23	Turbo	Madtown	ESKiMO-SiCKNE5S	Village	Vanilla	s	1	4	1					
PRESS YOUR LUCK Turbo (BobO returns!)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10490214&page=0&fpart=all&vc=1	2007-05-23	Turbo	Madtown	kbar13	Village	Vanilla	l2	1	4	1					
PRESS YOUR LUCK Turbo (BobO returns!)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10490214&page=0&fpart=all&vc=1	2007-05-23	Turbo	Madtown	Neil S	Village	Vanilla	l1	1	4	1					
PRESS YOUR LUCK Turbo (BobO returns!)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10490214&page=0&fpart=all&vc=1	2007-05-23	Turbo	Madtown	Nicholasp27	Village	Seer	l4	1	4	1					"BobOjedaFan,DustinG,ESKiMO-SiCKNE5S"
PRESS YOUR LUCK Turbo (BobO returns!)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10490214&page=0&fpart=all&vc=1	2007-05-23	Turbo	Madtown	Patton4	Wolves		l3	0	4	1					
PRESS YOUR LUCK Turbo (BobO returns!)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10490214&page=0&fpart=all&vc=1	2007-05-23	Turbo	Madtown	wdcBooks	Village	Vanilla	n1	1	4	1					
Wednesday evening TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10492309&page=127&fpart=all&vc=1	2007-05-23	Turbo	antidan444	ASPoker8	Village	Vanilla	s	0	3	1					
Wednesday evening TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10492309&page=127&fpart=all&vc=1	2007-05-23	Turbo	antidan445	bravos1	Village	Vanilla	l1	0	3	1					
Wednesday evening TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10492309&page=127&fpart=all&vc=1	2007-05-23	Turbo	antidan446	DustinG	Village	Vanilla	n1	0	3	1					
Wednesday evening TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10492309&page=127&fpart=all&vc=1	2007-05-23	Turbo	antidan447	HerbieGRD	Village	Vanilla	n2	0	3	1					
Wednesday evening TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10492309&page=127&fpart=all&vc=1	2007-05-23	Turbo	antidan448	Insane_Steve	Village	Vanilla	s	0	3	1					
Wednesday evening TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10492309&page=127&fpart=all&vc=1	2007-05-23	Turbo	antidan449	LuckayLuck	Village	Seer	s	0	3	1					
Wednesday evening TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10492309&page=127&fpart=all&vc=1	2007-05-23	Turbo	antidan450	Neil S	Village	Vanilla	s	0	3	1					
Wednesday evening TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10492309&page=127&fpart=all&vc=1	2007-05-23	Turbo	antidan451	Nicholasp27	Wolves		l2	1	3	1					
Wednesday evening TURBO!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10492309&page=127&fpart=all&vc=1	2007-05-23	Turbo	antidan452	Our House	Wolves		l3	1	3	1					"Nicholasp27,Insane_Steve,Neil S"
late nite turbo game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10497833&page=126&fpart=all&vc=1	2007-05-24	Turbo	econophile	antidan444	Wolves		s	0	4	1					
late nite turbo game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10497833&page=126&fpart=all&vc=1	2007-05-24	Turbo	econophile	ASPoker8	Village	Vanilla	n3	1	4	1					
late nite turbo game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10497833&page=126&fpart=all&vc=1	2007-05-24	Turbo	econophile	BobOjedaFan	Village	Seer	n1	1	4	1					shortline99
late nite turbo game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10497833&page=126&fpart=all&vc=1	2007-05-24	Turbo	econophile	chuckleslovakian	Village	Vanilla	l3	1	4	1					
late nite turbo game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10497833&page=126&fpart=all&vc=1	2007-05-24	Turbo	econophile	lastchance	Village	Vanilla	l4	1	4	1					
late nite turbo game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10497833&page=126&fpart=all&vc=1	2007-05-24	Turbo	econophile	Neil S	Village	Vanilla	l1	1	4	1					
late nite turbo game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10497833&page=126&fpart=all&vc=1	2007-05-24	Turbo	econophile	shortline99	Wolves		l2	0	4	1					
late nite turbo game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10497833&page=126&fpart=all&vc=1	2007-05-24	Turbo	econophile	traz	Village	Vanilla	n2	1	4	1					
late nite turbo game thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10497833&page=126&fpart=all&vc=1	2007-05-24	Turbo	econophile	valenzuela	Village	Vanilla	s	1	4	1					
Thu Night Turbo - Game Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10511735&page=124&fpart=all&vc=1	2007-05-24	Turbo	dmk	ASPoker8	Wolves		l3	0	4	1					
Thu Night Turbo - Game Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10511735&page=124&fpart=all&vc=1	2007-05-24	Turbo	dmk	ATrebek	Village	Vanilla	s	1	4	1					
Thu Night Turbo - Game Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10511735&page=124&fpart=all&vc=1	2007-05-24	Turbo	dmk	Cueballmania	Village	Vanilla	n3	1	4	1					
Thu Night Turbo - Game Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10511735&page=124&fpart=all&vc=1	2007-05-24	Turbo	dmk	DustinG	Village	Vanilla	n2	1	4	1					
Thu Night Turbo - Game Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10511735&page=124&fpart=all&vc=1	2007-05-24	Turbo	dmk	lastchance	Village	Vanilla	l2	1	4	1					
Thu Night Turbo - Game Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10511735&page=124&fpart=all&vc=1	2007-05-24	Turbo	dmk	LuckayLuck	Wolves		s	0	4	1					
Thu Night Turbo - Game Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10511735&page=124&fpart=all&vc=1	2007-05-24	Turbo	dmk	shortline99	Village	Vanilla	l1	1	4	1					
Thu Night Turbo - Game Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10511735&page=124&fpart=all&vc=1	2007-05-24	Turbo	dmk	soah	Village	Seer	n1	1	4	1					LuckayLuck
Thu Night Turbo - Game Thread	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10511735&page=124&fpart=all&vc=1	2007-05-24	Turbo	dmk	traz	Village	Vanilla	l4	1	4	1					
Afternoon Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10534297&page=123&fpart=all&vc=1	2007-05-26	Turbo	bojtun	amplify	Village	Vanilla	n3	0	4	1					
Afternoon Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10534297&page=123&fpart=all&vc=1	2007-05-26	Turbo	bojtun	ASPoker8	Village	Vanilla	n1	0	4	1					
Afternoon Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10534297&page=123&fpart=all&vc=1	2007-05-26	Turbo	bojtun	CPBF	Wolves		l4	1	4	1					
Afternoon Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10534297&page=123&fpart=all&vc=1	2007-05-26	Turbo	bojtun	kokiri	Village	Vanilla	l1	0	4	1					
Afternoon Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10534297&page=123&fpart=all&vc=1	2007-05-26	Turbo	bojtun	LuckayLuck	Village	Seer	n2	0	4	1					"Madtown,amplify"
Afternoon Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10534297&page=123&fpart=all&vc=1	2007-05-26	Turbo	bojtun	Madtown	Wolves		l3	1	4	1					
Afternoon Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10534297&page=123&fpart=all&vc=1	2007-05-26	Turbo	bojtun	matrix	Village	Vanilla	s	0	4	1					
Afternoon Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10534297&page=123&fpart=all&vc=1	2007-05-26	Turbo	bojtun	Neil S	Village	Vanilla	s	0	4	1			Shine	4	
Afternoon Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10534297&page=123&fpart=all&vc=1	2007-05-26	Turbo	bojtun	VoraciousReader	Village	Vanilla	l2	0	4	1					
8:50 PM Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10535282&page=123&fpart=all&vc=1	2007-05-26	Turbo	CPFB	amplify	Village	Vanilla	s	0	2	1					
8:50 PM Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10535282&page=123&fpart=all&vc=1	2007-05-26	Turbo	CPFB	ASPoker8	Village	Vanilla	n1	0	2	1					
8:50 PM Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10535282&page=123&fpart=all&vc=1	2007-05-26	Turbo	CPFB	Cueballmania	Village	Vanilla	s	0	2	1					
8:50 PM Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10535282&page=123&fpart=all&vc=1	2007-05-26	Turbo	CPFB	FCBLComish	Village	Vanilla	s	0	2	1					
8:50 PM Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10535282&page=123&fpart=all&vc=1	2007-05-26	Turbo	CPFB	LuckayLuck	Village	Seer	s	0	2	1					"amplify,soah"
8:50 PM Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10535282&page=123&fpart=all&vc=1	2007-05-26	Turbo	CPFB	matrix	Wolves		l1	1	2	1					
8:50 PM Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10535282&page=123&fpart=all&vc=1	2007-05-26	Turbo	CPFB	Neil S	Wolves		l2	1	2	1					
8:50 PM Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10535282&page=123&fpart=all&vc=1	2007-05-26	Turbo	CPFB	soah	Village	Vanilla	s	0	2	1					
8:50 PM Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10535282&page=123&fpart=all&vc=1	2007-05-26	Turbo	CPFB	traz	Village	Vanilla	s	0	2	1					
The Traz Said Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10536278&page=122&fpart=1&vc=1	2007-05-26	Turbo	CPFB	ASPoker8	Village	Seer	n1	1	4	1					soah
The Traz Said Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10536278&page=122&fpart=1&vc=1	2007-05-26	Turbo	CPFB	ATrebek	Wolves		l2	0	4	1					
The Traz Said Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10536278&page=122&fpart=1&vc=1	2007-05-26	Turbo	CPFB	Cueballmania	Village	Vanilla	n3	1	4	1					
The Traz Said Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10536278&page=122&fpart=1&vc=1	2007-05-26	Turbo	CPFB	DustinG	Village	Vanilla	l4	1	4	1					
The Traz Said Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10536278&page=122&fpart=1&vc=1	2007-05-26	Turbo	CPFB	FCBLComish	Village	Vanilla	l3	1	4	1					
The Traz Said Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10536278&page=122&fpart=1&vc=1	2007-05-26	Turbo	CPFB	LuckayLuck	Wolves		s	0	4	1					
The Traz Said Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10536278&page=122&fpart=1&vc=1	2007-05-26	Turbo	CPFB	Neil S	Village	Vanilla	s	1	4	1					
The Traz Said Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10536278&page=122&fpart=1&vc=1	2007-05-26	Turbo	CPFB	soah	Village	Vanilla	n2	1	4	1					
The Traz Said Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10536278&page=122&fpart=1&vc=1	2007-05-26	Turbo	CPFB	traz	Village	Vanilla	l1	1	4	1					
durron's patented no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10546695&page=0&fpart=all&vc=1	2007-05-27	Turbo	durron597	ASPoker8	Village	Vanilla	n1	0	3	1					
durron's patented no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10546695&page=0&fpart=all&vc=1	2007-05-27	Turbo	durron597	ATrebek	Village	Vanilla	s	0	3	1					
durron's patented no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10546695&page=0&fpart=all&vc=1	2007-05-27	Turbo	durron597	CPFB	Wolves		l2	1	3	1					
durron's patented no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10546695&page=0&fpart=all&vc=1	2007-05-27	Turbo	durron597	Cueballmania	Village	Vanilla	l1	0	3	1					
durron's patented no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10546695&page=0&fpart=all&vc=1	2007-05-27	Turbo	durron597	DustinG	Wolves		l3	1	3	1					
durron's patented no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10546695&page=0&fpart=all&vc=1	2007-05-27	Turbo	durron597	kyro	Village	Seer	n2	0	3	1					"ASPoker8,traz"
durron's patented no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10546695&page=0&fpart=all&vc=1	2007-05-27	Turbo	durron597	LuckayLuck	Village	Vanilla	s	0	3	1					
durron's patented no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10546695&page=0&fpart=all&vc=1	2007-05-27	Turbo	durron597	Neil S	Village	Vanilla	s	0	3	1					
durron's patented no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10546695&page=0&fpart=all&vc=1	2007-05-27	Turbo	durron597	traz	Village	Vanilla	s	0	3	1					
Sunday late-night turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10548160&page=0&fpart=all&vc=1	2007-05-28	Turbo	antidan444	amplify	Wolves		l2	0	4	1					
Sunday late-night turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10548160&page=0&fpart=all&vc=1	2007-05-28	Turbo	antidan444	ASPoker8	Village	Vanilla	l3	1	4	1					
Sunday late-night turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10548160&page=0&fpart=all&vc=1	2007-05-28	Turbo	antidan444	ATrebek	Village	Vanilla	l1	1	4	1					
Sunday late-night turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10548160&page=0&fpart=all&vc=1	2007-05-28	Turbo	antidan444	Cueballmania	Village	Seer	n1	1	4	1					dmk
Sunday late-night turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10548160&page=0&fpart=all&vc=1	2007-05-28	Turbo	antidan444	dmk	Village	Vanilla	l4	1	4	1					
Sunday late-night turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10548160&page=0&fpart=all&vc=1	2007-05-28	Turbo	antidan444	DustinG	Village	Vanilla	n2	1	4	1					
Sunday late-night turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10548160&page=0&fpart=all&vc=1	2007-05-28	Turbo	antidan444	kyro	Village	Vanilla	n3	1	4	1					
Sunday late-night turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10548160&page=0&fpart=all&vc=1	2007-05-28	Turbo	antidan444	soah	Village	Vanilla	s	1	4	1					
Sunday late-night turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10548160&page=0&fpart=all&vc=1	2007-05-28	Turbo	antidan444	traz	Wolves		s	0	4	1					
Memorial Day Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10556994&page=120&fpart=all&vc=1	2007-05-28	Turbo	CPFB	ASPoker8	Village	Vanilla	n3	1	4	1					
Memorial Day Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10556994&page=120&fpart=all&vc=1	2007-05-28	Turbo	CPFB	DustinG	Village	Seer	n2	1	4	1					"kyro,LuckayLuck"
Memorial Day Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10556994&page=120&fpart=all&vc=1	2007-05-28	Turbo	CPFB	FCBLComish	Wolves		s	0	4	1					
Memorial Day Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10556994&page=120&fpart=all&vc=1	2007-05-28	Turbo	CPFB	JCool	Village	Vanilla	l4	1	4	1					
Memorial Day Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10556994&page=120&fpart=all&vc=1	2007-05-28	Turbo	CPFB	kyro	Village	Vanilla	n1	1	4	1					
Memorial Day Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10556994&page=120&fpart=all&vc=1	2007-05-28	Turbo	CPFB	LuckayLuck	Wolves		l3	0	4	1					
Memorial Day Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10556994&page=120&fpart=all&vc=1	2007-05-28	Turbo	CPFB	Neil S	Village	Vanilla	m2	1	4	1					
Memorial Day Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10556994&page=120&fpart=all&vc=1	2007-05-28	Turbo	CPFB	metsandfinsfan	Village	Vanilla	l1	1	4	1			Our House	1	
Memorial Day Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10556994&page=120&fpart=all&vc=1	2007-05-28	Turbo	CPFB	Our House	Village	Vanilla	s	1	4	1			RogerM	4	
durron wed night no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10589989&page=118&fpart=all&vc=1	2007-05-30	Turbo	durron597	traz	Village	Vanilla	l1	0	3	1					
durron wed night no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10589989&page=118&fpart=all&vc=1	2007-05-30	Turbo	durron597	Cueballmania	Wolves		l2	1	3	1					
durron wed night no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10589989&page=118&fpart=all&vc=1	2007-05-30	Turbo	durron597	DustinG	Village	Vanilla	n1	0	3	1					
durron wed night no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10589989&page=118&fpart=all&vc=1	2007-05-30	Turbo	durron597	Nez477	Village	Vanilla	s	0	3	1					
durron wed night no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10589989&page=118&fpart=all&vc=1	2007-05-30	Turbo	durron597	ATrebek	Wolves		l3	1	3	1					
durron wed night no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10589989&page=118&fpart=all&vc=1	2007-05-30	Turbo	durron597	amplify	Village	Vanilla	s	0	3	1					
durron wed night no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10589989&page=118&fpart=all&vc=1	2007-05-30	Turbo	durron597	ASPoker8	Village	Vanilla	s	0	3	1					
durron wed night no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10589989&page=118&fpart=all&vc=1	2007-05-30	Turbo	durron597	valenzuela	Village	Vanilla	n2	0	3	1					
durron wed night no frills turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10589989&page=118&fpart=all&vc=1	2007-05-30	Turbo	durron597	Neil S	Village	Seer	s	0	3	1					"amplify,Nez477,ASPoker8"
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10591781&page=18&fpart=all&vc=1	2007-05-31	Turbo	Boiler_bd	Alex Jacob	Village	Vanilla	l3	2	3	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10591781&page=18&fpart=all&vc=1	2007-05-31	Turbo	Boiler_bd	antidan444	Wolves		l2	2	3	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10591781&page=18&fpart=all&vc=1	2007-05-31	Turbo	Boiler_bd	ASPoker8	Village	Vanilla	l1	2	3	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10591781&page=18&fpart=all&vc=1	2007-05-31	Turbo	Boiler_bd	bojtun	Village	Vanilla	s	2	3	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10591781&page=18&fpart=all&vc=1	2007-05-31	Turbo	Boiler_bd	DustinG	Village	Vanilla	s	2	3	1					
Late Night Turbo	http://archives1.twoplustwo.com/showflat.php?Cat=0&Number=10591781&page=18&fpart=all&vc=1	2007-05-31	Turbo	Boiler_bd	FCBLComish	Village	Vanilla	s	2	3	1					
